,accuracy,f1_macro,f1_weighted,best_epoch
best_ep4_BERT_s42_bs16_p3_mx8_lrit5_dr0.1--fzpartiallr5e-05cwbl1,0.8204643628509719,0.6522047866623659,0.8124991385528985,4
best_ep4_BERT_s42_bs16_p3_mx8_lrit5_dr0.1--fzpartiallr5e-05cwbl015,0.8258639308855291,0.6496134817739507,0.815164891948089,4
best_ep5_BERT_s42_bs16_p3_mx8_lrit5_dr0.1--fzpartiallr3e-05cwbl1,0.8193844492440605,0.6391256245873466,0.8145174348521033,5
best_ep4_BERT_s42_bs16_p3_mx8_lrit5_dr0.1--fzpartiallr3e-05cwbl015,0.8210043196544277,0.6377575937445259,0.8094682733054244,4
