,accuracy,f1_macro,f1_weighted,best_epoch
best_ep4_BERT_s42_bs16_p3_mx8_lrit5_dr0.1--fzpartiallr3e-05cwFalse,0.8911987041036717,0.7331691669360508,0.8866566712286914,4
best_ep3_BERT_s42_bs16_p3_mx8_lrit5_dr0.1--fzpartiallr5e-05cwFalse,0.8936285097192225,0.7251836209689774,0.8862272961874931,3
