,accuracy,f1_macro,f1_weighted,best_epoch
best_ep3_BERT_s42_bs16_p3_mx8_lrit5_dr0.1--fzpartiallr3e-05cwbl015,0.9829913606911447,0.9718161400107457,0.9829932613945545,3
best_ep3_BERT_s42_bs16_p3_mx8_lrit5_dr0.1--fzpartiallr5e-05cwbl015,0.982451403887689,0.9708462815930784,0.9824586256627937,3
best_ep3_BERT_s42_bs16_p3_mx8_lrit5_dr0.1--fzpartiallr3e-05cwbl1,0.9821814254859611,0.9704717135324907,0.9822764613622403,3
best_ep5_BERT_s42_bs16_p3_mx8_lrit5_dr0.1--fzpartiallr5e-05cwbl1,0.9819114470842333,0.9698735007455366,0.9819594972246843,5
