,accuracy,f1_macro,f1_weighted,best_epoch
best_ep2_LOGR_s42_bs128_p5_max500_unk2--lr0.01wd0cwbl1,0.8882289416846653,0.7134475767220113,0.8809879236973887,2
best_ep24_LOGR_s42_bs128_p5_max500_unk2--lr0.001wd0cwbl1,0.8917386609071274,0.7131171305228446,0.8828662061292305,24
best_ep18_LOGR_s42_bs128_p5_max500_unk2--lr0.001wd0cwskl,0.8480021598272138,0.6964644216378978,0.855288808164152,18
best_ep1_LOGR_s42_bs128_p5_max500_unk2--lr0.01wd0cwskl,0.8288336933045356,0.6908704095518942,0.8435929816023283,1
best_ep3_LOGR_s42_bs128_p5_max500_unk2--lr0.01wd0cwbl015,0.8833693304535637,0.679303727990773,0.8695797689594349,3
best_ep3_LOGR_s42_bs128_p5_max500_unk2--lr0.01wd0cwFalse,0.8833693304535637,0.679303727990773,0.8695797689594349,3
best_ep31_LOGR_s42_bs128_p5_max500_unk2--lr0.001wd0cwbl015,0.884719222462203,0.6784592849958887,0.8705966589122003,31
best_ep31_LOGR_s42_bs128_p5_max500_unk2--lr0.001wd0cwFalse,0.884719222462203,0.6784592849958887,0.8705966589122003,31
