,accuracy,f1_macro,f1_weighted,best_epoch
best_ep4_LOGR_s42_bs128_p5_max500_unk2--lr0.01wd0cwbl015,0.7931965442764579,0.5950823167976678,0.7784857112891947,4
best_ep4_LOGR_s42_bs128_p5_max500_unk2--lr0.01wd0cwbl1,0.7921166306695464,0.5916780522708573,0.7821454089817305,4
best_ep36_LOGR_s42_bs128_p5_max500_unk2--lr0.001wd0cwbl1,0.7953563714902808,0.5916604642847705,0.7827838371311342,36
best_ep36_LOGR_s42_bs128_p5_max500_unk2--lr0.001wd0cwbl015,0.7915766738660908,0.5840985742596092,0.7740711717407117,36
best_ep27_LOGR_s42_bs128_p5_max500_unk2--lr0.001wd0cwskl,0.759719222462203,0.5835997123489404,0.763695725044991,27
best_ep5_LOGR_s42_bs128_p5_max500_unk2--lr0.01wd0cwFalse,0.7937365010799136,0.5724667704983879,0.7774969381228226,5
best_ep42_LOGR_s42_bs128_p5_max500_unk2--lr0.001wd0cwFalse,0.7913066954643628,0.5683179557314337,0.7731632759306241,42
best_ep2_LOGR_s42_bs128_p5_max500_unk2--lr0.01wd0cwskl,0.7154427645788337,0.5653897748513023,0.7361629420024428,2
