,accuracy,f1_macro,f1_weighted,best_epoch
best_ep62_LOGR_s42_bs128_p5_max500_unk2--lr0.001wd0cwbl015,0.9770518358531317,0.9559301737624449,0.9769904900712049,62
best_ep63_LOGR_s42_bs128_p5_max500_unk2--lr0.001wd0cwFalse,0.9762419006479481,0.9530416556267431,0.9761220438131307,63
best_ep11_LOGR_s42_bs128_p5_max500_unk2--lr0.01wd0cwFalse,0.9765118790496761,0.9529366119761531,0.9763413278280758,11
best_ep11_LOGR_s42_bs128_p5_max500_unk2--lr0.01wd0cwbl015,0.9765118790496761,0.9523520302589493,0.97637322646526,11
best_ep11_LOGR_s42_bs128_p5_max500_unk2--lr0.01wd0cwbl1,0.9765118790496761,0.9520257685791426,0.9765009415582929,11
best_ep58_LOGR_s42_bs128_p5_max500_unk2--lr0.001wd0cwbl1,0.9754319654427646,0.9507327479732249,0.9754583109189015,58
best_ep8_LOGR_s42_bs128_p5_max500_unk2--lr0.01wd0cwskl,0.9732721382289417,0.9410681338673024,0.9736033659948019,8
best_ep48_LOGR_s42_bs128_p5_max500_unk2--lr0.001wd0cwskl,0.9719222462203023,0.9369493469296821,0.9723781429069202,48
