,accuracy,f1_macro,f1_weighted,best_epoch
best_ep3_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwsklad32,0.9794816414686826,0.9523030341127687,0.979660876899597,3
best_ep4_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwsklad64,0.9738120950323974,0.9425196018923747,0.974362400314739,4
best_ep4_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwsklad32,0.9713822894168467,0.934700706548089,0.9719709062186844,4
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwsklad128,0.9640928725701944,0.9227302621971512,0.9647710192325942,2
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwsklad128,0.9484341252699784,0.8922003531917018,0.9524917886778577,2
best_ep1_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwsklad64,0.9487041036717062,0.8881685350667761,0.9525625464854862,1
