,accuracy,f1_macro,f1_weighted,best_epoch
best_ep3_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwsklad128,0.740280777537797,0.6213449730623627,0.77705273929373,3
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwsklad64,0.7097732181425486,0.6096487217392167,0.7541636509450095,2
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwsklad64,0.7138228941684666,0.6050127157555132,0.7561329558134604,2
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwsklad32,0.6879049676025918,0.5884655524645582,0.7351797906737149,2
best_ep1_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwsklad32,0.6468682505399568,0.5726755408620058,0.70395483373933,1
best_ep1_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwsklad128,0.6169006479481641,0.5518958201364216,0.6750883386224086,1
