,cw_type+fold,2,3,9
0,bl015_fold_0,1.0,1.0,1.0
1,bl015_fold_1,1.0,1.0,1.0
2,bl015_fold_2,1.0,1.0,1.0
3,bl015_fold_3,1.0,1.0,1.0
4,bl015_fold_4,1.0,1.0,1.0
5,bl015_fold_5,1.0,1.0,1.0
6,bl1_fold_0,2.1723673128689387,1.0,2.650081961330569
7,bl1_fold_1,2.1724213216723864,1.0,2.6501359701340172
8,bl1_fold_2,2.1724213216723864,1.0,2.6509007885269393
9,bl1_fold_3,2.1728955924899083,1.0,2.6509007885269393
10,bl1_fold_4,2.1728955924899083,1.0,2.6509007885269393
11,bl1_fold_5,2.173370088346972,1.0,2.6501359701340172
12,skl_fold_0,2.9263474000316108,0.4087737890228286,4.718399592252803
13,skl_fold_1,2.9265054528212424,0.4087687926352739,4.718654434250764
14,skl_fold_2,2.9265054528212424,0.40874172185430463,4.722264728385616
15,skl_fold_3,2.9278937381404173,0.4087146546586319,4.722264728385616
16,skl_fold_4,2.9278937381404173,0.4087146546586319,4.722264728385616
17,skl_fold_5,2.9292833412434742,0.4087146546586319,4.718654434250764
