,accuracy,f1_macro,f1_weighted,best_epoch
best_ep9_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.001nf100dr0.5cwskl,0.8104751619870411,0.6842997856806159,0.832919673324127,9
best_ep29_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.0001nf100dr0.5cwskl,0.771598272138229,0.6416128852077961,0.8009980198612406,29
best_ep7_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.001nf300dr0.5cwskl,0.716792656587473,0.6186212784780625,0.7614803626169074,7
best_ep16_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.0001nf300dr0.5cwskl,0.7259719222462203,0.6086742664461714,0.7646423898825797,16
