,accuracy,f1_macro,f1_weighted,best_epoch
best_ep7_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.001nf100dr0.5cwskl,0.9719222462203023,0.9361104493821261,0.9723628365203731,7
best_ep29_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.0001nf100dr0.5cwskl,0.9605831533477321,0.9081989470667109,0.9617009504438935,29
best_ep13_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.0001nf300dr0.5cwskl,0.9576133909287257,0.9033332738819237,0.9587366710375017,13
best_ep3_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.001nf300dr0.5cwskl,0.9565334773218143,0.8997953960302383,0.9583498228405418,3
