,true,1,2,3,4,5,min3,min4,min5,accuracy_mean_over_folds,accuracy_std_over_folds,boot_acc_mean_over_folds,boot_mean_accs_of_folds,boot_quantile_lower_acc_of_folds,boot_quantile_upper_acc_of_folds,boot_accuracy_std_of_folds
c_beh_aa_LOGR,100.0,87.63736263736264,87.50722961249276,87.60844418739156,87.65182186234817,87.68074031231926,87.83979178716021,86.88548293811452,85.43956043956044,87.61711972238288,0.06673210387052983,87.62409806251526,"[87.64451146125793, 87.51755952835083, 87.6049816608429, 87.67417669296265, 87.67926096916199]","[86.8749771118164, 86.81085968017578, 86.84207153320312, 86.93904113769531, 86.96922302246094]","[88.45663452148438, 88.28565979003906, 88.37703704833984, 88.49359130859375, 88.4686050415039]","[0.4005582071840763, 0.3895929083228111, 0.398075208067894, 0.4071044269949198, 0.3957879263907671]"
c_beh_ba_CNN,100.0,88.20127241179873,88.07113938692886,86.30711393869288,86.29265471370735,87.21804511278195,87.68074031231926,85.15037593984962,80.52342394447658,87.21804511278195,0.9193270305964051,87.22458600997925,"[88.20682764053345, 88.06821703910828, 86.30561232566833, 86.30254864692688, 87.2397243976593]","[87.44371795654297, 87.2181625366211, 85.378662109375, 85.44147491455078, 86.41891479492188]","[88.97018432617188, 88.8251724243164, 87.22249603271484, 87.20816040039062, 88.0387954711914]","[0.4016912542283535, 0.4093632102012634, 0.4528174642473459, 0.4377401899546385, 0.418730778619647]"
c_beh_bb_MTCNN,100.0,87.85425101214574,88.17235396182764,87.82533256217467,88.05668016194332,87.99884326200116,88.37478311162522,86.37941006362058,82.80798149219201,87.98149219201851,0.14401271946777078,87.98133850097656,"[87.85309791564941, 88.18307518959045, 87.80859112739563, 88.05690407752991, 88.00502419471741]","[86.91838836669922, 87.41676330566406, 87.04576873779297, 87.34527587890625, 87.20438385009766]","[88.60060119628906, 88.97095489501953, 88.67632293701172, 88.79912567138672, 88.74685668945312]","[0.4182110074907541, 0.3967046272009611, 0.42647896334528923, 0.39632157422602177, 0.3952870611101389]"
c_beh_ca_HISAN,100.0,87.99884326200116,87.7674956622325,87.66628108733372,87.26142278773857,88.0855986119144,88.60613071139387,85.91671486408329,80.04626951995373,87.75592828224407,0.3241898832422748,87.78148055076599,"[88.02868723869324, 87.81439065933228, 87.67222166061401, 87.28936910629272, 88.1027340888977]","[87.21321105957031, 87.01097869873047, 86.87972259521484, 86.5581283569336, 87.38182830810547]","[88.80367279052734, 88.69281005859375, 88.46923828125, 88.08526611328125, 88.80921173095703]","[0.4030057694762945, 0.42083514854311943, 0.407590763643384, 0.38536444772034883, 0.38204158190637827]"
c_beh_cb_MTHISAN,100.0,88.7218045112782,88.50491613649508,87.941006362059,88.3314054366686,88.3314054366686,88.96761133603239,86.62521688837478,82.1283979178716,88.3661075766339,0.2867523518977134,88.37110042572021,"[88.73555660247803, 88.50179314613342, 87.93984055519104, 88.33454251289368, 88.34376931190491]","[87.95478820800781, 87.7998046875, 87.13253784179688, 87.61003875732422, 87.58438110351562]","[89.47381591796875, 89.25603485107422, 88.64509582519531, 89.0107421875, 89.16109466552734]","[0.3871916327625513, 0.3755470272153616, 0.40238816291093826, 0.36306523252278566, 0.3966472577303648]"
c_beh_da_BERT,100.0,88.40370156159629,88.76518218623481,88.67842683632158,89.06882591093117,88.64950838635049,89.17004048582996,87.10237131289763,83.19838056680162,88.71312897628687,0.23990987314268244,88.70069146156311,"[88.39657306671143, 88.75104784965515, 88.66470456123352, 89.05985355377197, 88.63127827644348]","[87.6465072631836, 88.03028106689453, 87.86724853515625, 88.32225799560547, 87.8982925415039]","[89.1817626953125, 89.52959442138672, 89.46034240722656, 89.79512786865234, 89.48694610595703]","[0.40175560861825943, 0.39738407358527184, 0.3975530620664358, 0.381421041674912, 0.3934652544558048]"
c_beh_db_MTBERT,100.0,88.7218045112782,88.62058993637942,88.96761133603239,88.99652978600348,88.80855986119144,89.30017351069984,87.14574898785426,83.27067669172934,88.82301908617698,0.1600342945429348,88.806471824646,"[88.71078491210938, 88.60232830047607, 88.95519971847534, 88.98030519485474, 88.78374099731445]","[87.89305877685547, 87.78009033203125, 88.16410827636719, 88.20991516113281, 87.9743423461914]","[89.4832763671875, 89.38490295410156, 89.79859161376953, 89.7789535522461, 89.53660583496094]","[0.39143054746091366, 0.4117570351809263, 0.41066757403314114, 0.3956685308367014, 0.40412493981420994]"
d_sit_aa_LOGR,100.0,97.55639097744361,97.44071717755928,97.52747252747253,97.52747252747253,97.59976865240023,97.57085020242914,97.38288027761712,96.89126662810872,97.53036437246962,0.05819725794534003,97.52874732017517,"[97.55491018295288, 97.43803143501282, 97.52588868141174, 97.5257158279419, 97.59919047355652]","[97.17044830322266, 97.06381225585938, 97.14073944091797, 97.11776733398438, 97.21847534179688]","[97.89558410644531, 97.7935562133789, 97.84745788574219, 97.87443542480469, 97.91517639160156]","[0.19330872455611825, 0.18936371197924018, 0.1905482728034258, 0.19957148469984531, 0.19006060902029276]"
d_sit_ba_CNN,100.0,96.93464430306535,97.46963562753037,97.42625795257375,97.2672064777328,97.38288027761712,97.45517640254482,96.76113360323887,95.80682475419317,97.29612492770389,0.21568007360000585,97.30141639709473,"[96.93719744682312, 97.47157692909241, 97.43105173110962, 97.27879762649536, 97.38845825195312]","[96.54483032226562, 97.08070373535156, 97.02523040771484, 96.85283660888672, 97.02694702148438]","[97.32830047607422, 97.8384780883789, 97.79718780517578, 97.6575698852539, 97.79261016845703]","[0.2098877215757966, 0.1958953682333231, 0.1971451798453927, 0.20164751913398504, 0.1977270469069481]"
d_sit_bb_MTCNN_2,100.0,97.19491035280508,97.36842105263158,97.3395026026605,97.19491035280508,97.42625795257375,97.54193175245807,96.79005205320995,95.72006940427993,97.3048004626952,0.1050659463538811,97.31198310852051,"[97.19452857971191, 97.36990332603455, 97.35467433929443, 97.20497727394104, 97.4358320236206]","[96.76145935058594, 96.97753143310547, 96.99235534667969, 96.79879760742188, 97.06847381591797]","[97.58309936523438, 97.78756713867188, 97.71956634521484, 97.60954284667969, 97.83663177490234]","[0.2053191652521491, 0.20024438854306936, 0.1934424159117043, 0.20535439252853394, 0.19714273512363434]"
d_sit_bb_MTCNN_3,100.0,97.06477732793523,97.0213996529786,97.36842105263158,97.3395026026605,97.62868710237132,97.46963562753037,96.81897050318103,95.40196645459802,97.28455754771544,0.24800837661072433,97.28978037834167,"[97.06711769104004, 97.01946973800659, 97.37823605537415, 97.34348654747009, 97.6405918598175]","[96.66802978515625, 96.65389251708984, 97.04098510742188, 96.95490264892578, 97.30611419677734]","[97.42628479003906, 97.396728515625, 97.74876403808594, 97.73464965820312, 97.96680450439453]","[0.19883844070136547, 0.19364752806723118, 0.1797331846319139, 0.19301531137898564, 0.18157114973291755]"
d_sit_ca_HISAN,100.0,97.59976865240023,97.64314632735686,97.74436090225564,97.8744939271255,97.54193175245807,97.97570850202429,97.29612492770387,95.87912087912088,97.68074031231926,0.13117314551811968,97.68125057220459,"[97.59957790374756, 97.64389991760254, 97.74991869926453, 97.87130951881409, 97.54154682159424]","[97.2174072265625, 97.26071166992188, 97.39400482177734, 97.50879669189453, 97.13677215576172]","[97.97715759277344, 97.98255157470703, 98.1033706665039, 98.23475646972656, 97.91229248046875]","[0.19453720888122916, 0.19206369761377573, 0.182030547875911, 0.1905625918880105, 0.19548030104488134]"
d_sit_cb_MTHISAN_2,100.0,97.22382880277617,97.54193175245807,97.4840948525159,97.42625795257375,97.23828802776171,97.61422787738577,96.96356275303644,95.1417004048583,97.38288027761712,0.14459224985540756,97.38511919975281,"[97.21570014953613, 97.54195213317871, 97.48159050941467, 97.43525385856628, 97.25109934806824]","[96.81334686279297, 97.16171264648438, 97.10808563232422, 97.03323364257812, 96.7982177734375]","[97.6222152709961, 97.89473724365234, 97.84443664550781, 97.80353546142578, 97.6179428100586]","[0.20855350885540247, 0.18522338941693306, 0.18842354184016585, 0.19338742131367326, 0.20240070298314095]"
d_sit_cb_MTHISAN_3,100.0,97.81665702718334,97.7299016772701,97.68652400231348,97.6576055523424,97.93233082706767,98.048004626952,97.36842105263158,95.9947946790052,97.7646038172354,0.11134542109993165,97.76536464691162,"[97.8193998336792, 97.72558808326721, 97.68613576889038, 97.66153693199158, 97.93416261672974]","[97.43775939941406, 97.37155151367188, 97.3105697631836, 97.26412963867188, 97.60237884521484]","[98.16449737548828, 98.08818054199219, 98.05708312988281, 98.01483154296875, 98.26771545410156]","[0.1790110720321536, 0.1841896795667708, 0.1864872290752828, 0.19091867143288255, 0.1732298987917602]"
d_sit_da_BERT,100.0,97.97570850202429,98.30827067669173,98.23597455176403,98.25043377674957,98.35164835164835,98.3661075766339,97.86003470213997,97.19491035280508,98.2244071717756,0.1465312441892235,98.22711110115051,"[97.97926545143127, 98.31305146217346, 98.23849201202393, 98.25748801231384, 98.34725856781006]","[97.6337890625, 98.0089340209961, 97.90718841552734, 97.95952606201172, 98.03874206542969]","[98.31907653808594, 98.61579895019531, 98.55481719970703, 98.56733703613281, 98.6460952758789]","[0.16828191000968218, 0.16193201299756765, 0.16712244832888246, 0.1611871994100511, 0.15413692453876138]"
d_sit_db_MTBERT_2,100.0,97.78773857721225,98.16367842683633,98.048004626952,98.29381145170619,97.90341237709659,98.1925968768074,97.68652400231348,96.7032967032967,98.03932909196067,0.2012898618310613,98.04098129272461,"[97.79369831085205, 98.15818071365356, 98.05048704147339, 98.29370379447937, 97.90883660316467]","[97.42524719238281, 97.82394409179688, 97.69725036621094, 97.93073272705078, 97.56855010986328]","[98.10636901855469, 98.47261810302734, 98.36382293701172, 98.59709930419922, 98.22007751464844]","[0.1717100734822452, 0.16674979124218225, 0.17256404971703887, 0.16440573381260037, 0.17259687883779407]"
d_sit_db_MTBERT_3,100.0,98.07692307692307,98.048004626952,98.10584152689415,98.06246385193754,97.77327935222672,98.1203007518797,97.61422787738577,96.81897050318103,98.0133024869867,0.13587056056487243,98.01422834396362,"[98.07444214820862, 98.04935455322266, 98.11378121376038, 98.06205034255981, 97.77151346206665]","[97.74060821533203, 97.74176788330078, 97.7638931274414, 97.7279281616211, 97.44051361083984]","[98.37580108642578, 98.3527603149414, 98.4344711303711, 98.33025360107422, 98.15492248535156]","[0.16535446047782898, 0.1568958628922701, 0.16819507582113147, 0.15918120043352246, 0.1819484052248299]"
