,true,1,2,3,4,5,min3,min4,min5,fmacro_mean_over_folds,fmacro_std_over_folds,boot_fmac_mean_over_folds,boot_mean_fmacs_of_folds,boot_quantile_lower_fmac_of_folds,boot_quantile_upper_fmac_of_folds,boot_fmac_std_of_folds,n_true_classes_in_folds,n_unique_classes_in_folds
CW_c_beh_ba_CNN,100.0,70.79,73.61,71.59,70.63,74.22,73.87,72.11,66.15,72.17,1.65,72.23,"[70.86536884307861, 73.68491291999817, 71.63365483283997, 70.70804834365845, 74.27578568458557]","[69.24506378173828, 71.89122772216797, 70.21156311035156, 69.1955795288086, 72.66315460205078]","[72.36721801757812, 75.09527587890625, 73.03361511230469, 72.05807495117188, 75.60209655761719]","[0.7900252006947994, 0.8355805650353432, 0.7709162775427103, 0.7529107853770256, 0.7478668820112944]",3.0,"[3.0, 3.0, 3.0, 3.0, 3.0]"
CW_c_beh_bb_MTCNN,100.0,74.5,74.9,74.91,75.14,74.77,76.57,74.53,70.82,74.85,0.24,74.87,"[74.53157305717468, 74.96773600578308, 74.91379976272583, 75.12783408164978, 74.82072710990906]","[72.87319946289062, 73.52031707763672, 73.56265258789062, 73.84048461914062, 73.43268585205078]","[75.9923095703125, 76.31744384765625, 76.1432113647461, 76.41555786132812, 76.322998046875]","[0.8128148503601551, 0.719704944640398, 0.7067753933370113, 0.6983309984207153, 0.7935610599815845]",3.0,"[3.0, 3.0, 3.0, 3.0, 3.0]"
CW_c_beh_ca_HISAN,100.0,73.55,73.78,71.95,73.51,74.0,75.1,74.42,70.45,73.36,0.81,73.38,"[73.55383038520813, 73.79723191261292, 71.9890296459198, 73.5237717628479, 74.04173612594604]","[71.86942291259766, 72.3387451171875, 70.34719848632812, 72.10520935058594, 72.55294036865234]","[74.89642333984375, 75.4006576538086, 73.42988586425781, 74.85641479492188, 75.30210876464844]","[0.7517552003264427, 0.7896945811808109, 0.8131956681609154, 0.7153374142944813, 0.7355093955993652]",3.0,"[3.0, 3.0, 3.0, 3.0, 3.0]"
CW_c_beh_cb_MTHISAN,100.0,75.42,75.34,74.38,76.65,76.12,77.54,76.4,73.53,75.58,0.86,75.56,"[75.40494799613953, 75.33577084541321, 74.32711720466614, 76.64037346839905, 76.08174681663513]","[74.03443145751953, 73.82290649414062, 72.95767211914062, 75.29107666015625, 74.6526870727539]","[76.81964111328125, 76.80709838867188, 75.7682113647461, 77.96681213378906, 77.59937286376953]","[0.7088242098689079, 0.7107817102223635, 0.7406772579997778, 0.6786515936255455, 0.7501817774027586]",3.0,"[3.0, 3.0, 3.0, 3.0, 3.0]"
CW_c_beh_da_BERT,100.0,76.61,75.99,75.89,75.58,76.16,77.31,75.86,72.07,76.05,0.38,76.03,"[76.58358812332153, 75.9692370891571, 75.85691213607788, 75.59114694595337, 76.14332437515259]","[75.07527160644531, 74.29269409179688, 74.2960205078125, 74.14622497558594, 74.78028106689453]","[78.11509704589844, 77.43489837646484, 77.37237548828125, 76.98936462402344, 77.58881378173828]","[0.7703461218625307, 0.8251958526670933, 0.7308762986212969, 0.7663575932383537, 0.750647159293294]",3.0,"[3.0, 3.0, 3.0, 3.0, 3.0]"
CW_c_beh_db_MTBERT,100.0,77.92,76.02,76.9,76.85,77.73,78.12,77.68,75.48,77.08,0.76,77.06,"[77.87489295005798, 75.97744464874268, 76.86518430709839, 76.85056328773499, 77.70810127258301]","[76.63261413574219, 74.49068450927734, 75.55181884765625, 75.35769653320312, 76.24507904052734]","[79.33035278320312, 77.50247955322266, 78.23021697998047, 78.2566146850586, 79.12300872802734]","[0.6986428052186966, 0.7348816841840744, 0.7112832739949226, 0.7317261770367622, 0.6993614137172699]",3.0,"[3.0, 3.0, 3.0, 3.0, 3.0]"
CW_d_sit_aa_LOGR,100.0,96.12,95.84,95.98,95.98,95.67,96.08,95.99,95.54,95.92,0.17,95.9,"[96.1001992225647, 95.8131492137909, 95.96845507621765, 95.9562361240387, 95.64764499664307]","[95.28871154785156, 95.06771850585938, 95.11605834960938, 95.1749267578125, 94.88381958007812]","[96.81550598144531, 96.58818054199219, 96.73372650146484, 96.76519012451172, 96.46421813964844]","[0.382734346203506, 0.3850704990327358, 0.4004459362477064, 0.3980176988989115, 0.4029825795441866]",4.0,"[4.0, 4.0, 4.0, 4.0, 4.0]"
CW_d_sit_ba_CNN,100.0,94.89,95.46,95.96,95.88,95.84,95.65,95.55,94.86,95.61,0.44,95.59,"[94.89124417304993, 95.4500138759613, 95.93865871429443, 95.85273265838623, 95.82653045654297]","[93.93927001953125, 94.68950653076172, 95.07070922851562, 95.04052734375, 95.0503921508789]","[95.74368286132812, 96.25162506103516, 96.73625183105469, 96.59432983398438, 96.60204315185547]","[0.4580920096486807, 0.4179238807410002, 0.40921689942479134, 0.3967871889472008, 0.39989305660128593]",4.0,"[4.0, 4.0, 4.0, 4.0, 4.0]"
CW_d_sit_bb_MTCNN_2,100.0,95.0,94.11,94.69,95.18,94.84,95.28,94.92,93.77,94.76,0.41,94.76,"[94.98597979545593, 94.10158395767212, 94.68549489974976, 95.17170190811157, 94.83062624931335]","[94.185546875, 93.1832504272461, 93.750732421875, 94.38168334960938, 93.99469757080078]","[95.86247253417969, 95.11317443847656, 95.67122650146484, 95.99124145507812, 95.7810287475586]","[0.44261449947953224, 0.49310182221233845, 0.48043327406048775, 0.41998852975666523, 0.4515987355262041]",4.0,"[4.0, 4.0, 4.0, 4.0, 4.0]"
CW_d_sit_bb_MTCNN_3,100.0,94.17,93.7,94.04,95.21,94.62,94.84,94.18,93.55,94.35,0.59,94.32,"[94.13644671440125, 93.67608428001404, 94.0199613571167, 95.175039768219, 94.61663961410522]","[93.14118957519531, 92.60746002197266, 93.04802703857422, 94.3315658569336, 93.67610168457031]","[95.10130310058594, 94.85462188720703, 95.03548431396484, 96.02079010009766, 95.5693359375]","[0.48349671997129917, 0.5495682824403048, 0.5145012866705656, 0.43298606760799885, 0.4678791854530573]",4.0,"[4.0, 4.0, 4.0, 4.0, 4.0]"
CW_d_sit_ca_HISAN,100.0,96.45,96.34,96.1,96.09,95.83,96.91,96.2,95.53,96.16,0.24,96.16,"[96.43778204917908, 96.33163213729858, 96.09140157699585, 96.08563184738159, 95.84794044494629]","[95.67096710205078, 95.57066345214844, 95.35093688964844, 95.39856719970703, 94.95252227783203]","[97.14924621582031, 97.09722137451172, 96.88057708740234, 96.81602478027344, 96.56565856933594]","[0.3708910895511508, 0.38939013611525297, 0.40140082128345966, 0.3742219880223274, 0.41502597741782665]",4.0,"[4.0, 4.0, 4.0, 4.0, 4.0]"
CW_d_sit_cb_MTHISAN_2,100.0,95.58,96.03,95.87,95.84,95.71,96.7,96.23,94.87,95.81,0.17,95.81,"[95.58802247047424, 96.02636694908142, 95.88800072669983, 95.8399772644043, 95.71592211723328]","[94.77639770507812, 95.27006530761719, 95.07894897460938, 95.00823211669922, 94.8715591430664]","[96.40120697021484, 96.77226257324219, 96.65567016601562, 96.64225006103516, 96.43893432617188]","[0.4249864723533392, 0.39321216754615307, 0.40551372803747654, 0.3891977248713374, 0.4112653434276581]",4.0,"[4.0, 4.0, 4.0, 4.0, 4.0]"
CW_d_sit_cb_MTHISAN_3,100.0,96.39,96.06,95.76,95.92,96.09,96.83,96.51,95.49,96.04,0.23,96.05,"[96.38904929161072, 96.05920314788818, 95.78045606613159, 95.92122435569763, 96.08103632926941]","[95.71405029296875, 95.4139404296875, 94.94706726074219, 95.23685455322266, 95.34681701660156]","[97.03490447998047, 96.79144287109375, 96.62120056152344, 96.6595458984375, 96.7911605834961]","[0.3499663667753339, 0.38293201941996813, 0.42903278954327106, 0.3736089449375868, 0.3854176728054881]",4.0,"[4.0, 4.0, 4.0, 4.0, 4.0]"
CW_d_sit_da_BERT,100.0,96.34,97.09,97.1,96.9,97.11,97.19,97.29,96.74,96.91,0.33,96.92,"[96.35133147239685, 97.10630178451538, 97.10803031921387, 96.91393971443176, 97.12089896202087]","[95.60275268554688, 96.4299087524414, 96.44461059570312, 96.31697845458984, 96.38656616210938]","[96.94158172607422, 97.77447509765625, 97.6871337890625, 97.50198364257812, 97.78948211669922]","[0.35609009210020304, 0.33291156869381666, 0.31985302921384573, 0.31627577263861895, 0.32830771524459124]",4.0,"[4.0, 4.0, 4.0, 4.0, 4.0]"
