,true,1,2,3,4,5,min3,min4,min5,fmacro_mean_over_folds,fmacro_std_over_folds,boot_fmac_mean_over_folds,boot_mean_fmacs_of_folds,boot_quantile_lower_fmac_of_folds,boot_quantile_upper_fmac_of_folds,boot_fmac_std_of_folds,n_true_classes_in_folds,n_unique_classes_in_folds
c_beh_cb_MTHISAN,100.0,75.52,75.22,73.48,75.46,73.54,75.82,73.92,69.24,74.64,1.04,74.62,"[75.51379799842834, 75.18630623817444, 73.43397736549377, 75.4429817199707, 73.52665066719055]","[73.82079315185547, 73.47522735595703, 71.82848358154297, 73.9073257446289, 71.80960083007812]","[77.12700653076172, 76.68425750732422, 75.0108871459961, 76.91940307617188, 75.2990951538086]","[0.8427273482084274, 0.8088579401373863, 0.8118736557662487, 0.7728674449026585, 0.872627180069685]",3.0,"[3.0, 3.0, 3.0, 3.0, 3.0]"
c_beh_da_BERT,100.0,74.21,73.04,73.98,75.31,75.0,75.16,73.26,68.77,74.31,0.89,74.3,"[74.22823309898376, 73.01093935966492, 73.99390935897827, 75.29705762863159, 74.96123313903809]","[72.34066009521484, 71.27420806884766, 72.34528350830078, 73.76519012451172, 73.46260833740234]","[75.83831024169922, 74.6085433959961, 75.74242401123047, 76.81085205078125, 76.26712036132812]","[0.87277851998806, 0.8543653413653374, 0.8430072106420994, 0.8111179806292057, 0.7448011543601751]",3.0,"[3.0, 3.0, 3.0, 3.0, 3.0]"
c_beh_db_MTBERT,100.0,77.11,76.51,76.6,76.59,76.13,77.55,76.19,72.51,76.59,0.35,76.58,"[77.1323025226593, 76.4861524105072, 76.57350897789001, 76.54545903205872, 76.15777254104614]","[75.63148498535156, 74.92943572998047, 75.15412139892578, 74.75053405761719, 74.47828674316406]","[78.41866302490234, 77.88397216796875, 78.01204681396484, 78.06732940673828, 77.59798431396484]","[0.7330013439059258, 0.7835189811885357, 0.7653266191482544, 0.8132233284413815, 0.7740271743386984]",3.0,"[3.0, 3.0, 3.0, 3.0, 3.0]"
d_sit_aa_LOGR,100.0,95.85,95.63,95.65,95.82,95.83,95.85,95.71,95.27,95.76,0.11,95.74,"[95.83258032798767, 95.61924338340759, 95.63705325126648, 95.795077085495, 95.80461382865906]","[94.9889907836914, 94.76590728759766, 94.68814086914062, 94.96534729003906, 95.04161834716797]","[96.65361022949219, 96.41673278808594, 96.47371673583984, 96.60580444335938, 96.62240600585938]","[0.4060343373566866, 0.4137665033340454, 0.42858109809458256, 0.4089360125362873, 0.4030462820082903]",4.0,"[4.0, 4.0, 4.0, 4.0, 4.0]"
d_sit_ba_CNN,100.0,93.77,95.35,95.12,94.56,94.6,94.96,94.4,93.58,94.68,0.61,94.67,"[93.7410056591034, 95.35033106803894, 95.11419534683228, 94.55692768096924, 94.58211064338684]","[92.78018951416016, 94.52075958251953, 94.21772003173828, 93.54151153564453, 93.58905792236328]","[94.71153259277344, 96.2177963256836, 95.96661376953125, 95.50848388671875, 95.5312728881836]","[0.514111714437604, 0.42754290625452995, 0.45473091304302216, 0.48217405565083027, 0.49887062050402164]",4.0,"[4.0, 4.0, 4.0, 4.0, 4.0]"
d_sit_bb_MTCNN_2,100.0,94.41,94.82,94.66,94.76,95.32,95.4,94.87,93.65,94.8,0.33,94.79,"[94.39425468444824, 94.80458498001099, 94.66127753257751, 94.75984573364258, 95.30912041664124]","[93.441162109375, 93.95661926269531, 93.72929382324219, 93.91551971435547, 94.4200668334961]","[95.3743896484375, 95.82406616210938, 95.59589385986328, 95.60262298583984, 96.16152954101562]","[0.48488741740584373, 0.4788273014128208, 0.46767583116889, 0.43662935495376587, 0.4395855125039816]",4.0,"[4.0, 4.0, 4.0, 4.0, 4.0]"
d_sit_bb_MTCNN_3,100.0,93.89,93.9,94.68,94.88,95.95,95.12,94.83,93.4,94.66,0.85,94.64,"[93.84894967079163, 93.87649297714233, 94.67102885246277, 94.85881328582764, 95.93714475631714]","[92.82717895507812, 92.82102966308594, 93.72978973388672, 93.9515609741211, 95.2491455078125]","[94.89685821533203, 94.96417236328125, 95.59059143066406, 95.74321746826172, 96.68318939208984]","[0.5220810882747173, 0.5230540409684181, 0.4643091931939125, 0.45159277506172657, 0.3693650709465146]",4.0,"[4.0, 4.0, 4.0, 4.0, 4.0]"
d_sit_ca_HISAN,100.0,96.21,96.16,96.09,96.85,95.92,96.9,96.54,95.43,96.25,0.35,96.25,"[96.20810747146606, 96.16612792015076, 96.07948064804077, 96.83337211608887, 95.93868255615234]","[95.53341674804688, 95.42339324951172, 95.18812561035156, 96.08308410644531, 95.13090515136719]","[96.94342041015625, 97.0036849975586, 96.86000061035156, 97.483154296875, 96.73990631103516]","[0.3754641627892852, 0.4013522993773222, 0.4090013448148966, 0.33982531167566776, 0.4086606204509735]",4.0,"[4.0, 4.0, 4.0, 4.0, 4.0]"
d_sit_cb_MTHISAN_2,100.0,94.85,95.9,95.89,95.49,95.24,96.18,95.78,94.31,95.47,0.45,95.48,"[94.84743475914001, 95.89057564735413, 95.90002298355103, 95.50294876098633, 95.25307416915894]","[93.8423843383789, 95.10908508300781, 95.12287902832031, 94.68150329589844, 94.21123504638672]","[95.83814239501953, 96.76980590820312, 96.7418212890625, 96.41919708251953, 96.14154052734375]","[0.48211924731731415, 0.4144459031522274, 0.39926720783114433, 0.43046288192272186, 0.46747373417019844]",4.0,"[4.0, 4.0, 4.0, 4.0, 4.0]"
d_sit_cb_MTHISAN_3,100.0,96.54,96.26,96.06,96.02,96.42,97.09,96.61,95.4,96.26,0.23,96.26,"[96.5256929397583, 96.26758098602295, 96.06587886810303, 96.02833986282349, 96.42775654792786]","[95.87275695800781, 95.62388610839844, 95.27218627929688, 95.31267547607422, 95.66461181640625]","[97.22447204589844, 96.94402313232422, 96.89445495605469, 96.84136199951172, 97.12051391601562]","[0.34174092579633, 0.34665174316614866, 0.41199703700840473, 0.40140310302376747, 0.3769243136048317]",4.0,"[4.0, 4.0, 4.0, 4.0, 4.0]"
d_sit_da_BERT,100.0,96.81,97.41,97.15,97.18,97.58,97.36,97.31,97.0,97.23,0.29,97.23,"[96.81677222251892, 97.4172592163086, 97.15185761451721, 97.19395041465759, 97.57803082466125]","[96.11245727539062, 96.81916046142578, 96.50701904296875, 96.57405853271484, 96.98825073242188]","[97.42166137695312, 97.97027587890625, 97.71331787109375, 97.76121520996094, 98.13715362548828]","[0.338587025180459, 0.2955913543701172, 0.32065510749816895, 0.3133732592687011, 0.3019650001078844]",4.0,"[4.0, 4.0, 4.0, 4.0, 4.0]"
d_sit_db_MTBERT_2,100.0,96.18,96.94,96.71,97.4,96.32,96.93,96.62,96.08,96.71,0.49,96.69,"[96.16018533706665, 96.91829681396484, 96.69606685638428, 97.38026857376099, 96.29795551300049]","[95.30165100097656, 96.2058334350586, 95.99295806884766, 96.74139404296875, 95.60509490966797]","[96.87932586669922, 97.62606811523438, 97.35431671142578, 97.9544906616211, 97.00011444091797]","[0.4056529141962528, 0.35309114027768373, 0.35143226850777864, 0.310685345903039, 0.37913057021796703]",4.0,"[4.0, 4.0, 4.0, 4.0, 4.0]"
d_sit_db_MTBERT_3,100.0,96.55,96.76,96.87,96.79,96.19,96.87,96.62,96.15,96.63,0.27,96.62,"[96.5528130531311, 96.74020409584045, 96.85969948768616, 96.77121043205261, 96.18220925331116]","[95.8306884765625, 96.00094604492188, 96.19842529296875, 96.11138916015625, 95.39251708984375]","[97.29961395263672, 97.44212341308594, 97.45075988769531, 97.39413452148438, 96.89579772949219]","[0.3738789353519678, 0.3689594566822052, 0.33578211441636086, 0.34978101029992104, 0.3856310620903969]",4.0,"[4.0, 4.0, 4.0, 4.0, 4.0]"
