,true,1,2,3,4,5,min3,min4,min5,accuracy_mean_over_folds,accuracy_std_over_folds,boot_acc_mean_over_folds,boot_mean_accs_of_folds,boot_quantile_lower_acc_of_folds,boot_quantile_upper_acc_of_folds,boot_accuracy_std_of_folds
CW_b_his_da_BERT,100.0,82.76,82.16,83.95,81.52,81.62,83.16,79.66,73.25,82.4,1.0,82.4,"[82.75058269500732, 82.15673565864563, 83.94699096679688, 81.53996467590332, 81.59497380256653]","[81.89734649658203, 81.28819274902344, 83.19182586669922, 80.6578598022461, 80.80028533935547]","[83.6435317993164, 82.99019622802734, 84.69847106933594, 82.44284057617188, 82.47672271728516]","[0.449206680059433, 0.44159223325550556, 0.41533689945936203, 0.45786513946950436, 0.43904478661715984]"
CW_b_his_db_MTBERT,100.0,82.4,82.58,82.52,82.63,81.98,82.95,79.93,74.23,82.42,0.26,82.41,"[82.39769339561462, 82.5637936592102, 82.5185775756836, 82.60967135429382, 81.97519779205322]","[81.54570007324219, 81.66452026367188, 81.60211944580078, 81.72285461425781, 81.13396453857422]","[83.24047088623047, 83.4603042602539, 83.36907196044922, 83.45136260986328, 82.85249328613281]","[0.4368715453892946, 0.4646221175789833, 0.4408668726682663, 0.4375011660158634, 0.4372307099401951]"
CW_c_beh_aa_LOGR,100.0,88.19,88.01,88.0,88.2,87.88,88.23,87.46,85.87,88.06,0.14,88.07,"[88.19791674613953, 88.02714943885803, 88.01711797714233, 88.22857737541199, 87.90159225463867]","[87.43846893310547, 87.2404556274414, 87.23314666748047, 87.3990707397461, 87.11764526367188]","[88.95216369628906, 88.78335571289062, 88.80867004394531, 89.004638671875, 88.58411407470703]","[0.3850068897008896, 0.3989921882748604, 0.40029161609709263, 0.40502287447452545, 0.3941532224416733]"
CW_c_beh_ba_CNN,100.0,85.15,87.54,86.29,86.06,86.26,87.36,83.78,76.43,86.26,0.85,86.26,"[85.15880703926086, 87.52641677856445, 86.3115668296814, 86.07458472251892, 86.24601364135742]","[84.36994934082031, 86.71151733398438, 85.40947723388672, 85.18994140625, 85.46456146240234]","[86.05168151855469, 88.28857421875, 87.14482116699219, 86.8183822631836, 87.07744598388672]","[0.4323849454522133, 0.4215668886899948, 0.46414961107075214, 0.41437852196395397, 0.4275787156075239]"
CW_c_beh_bb_MTCNN,100.0,88.2,86.83,87.03,87.32,87.58,88.39,85.43,80.12,87.39,0.53,87.39,"[88.20188641548157, 86.81711554527283, 87.0290756225586, 87.32291460037231, 87.56571412086487]","[87.43463897705078, 86.05094909667969, 86.21644592285156, 86.5688705444336, 86.86780548095703]","[89.01842498779297, 87.63557434082031, 87.81584167480469, 88.05866241455078, 88.3560562133789]","[0.4145693499594927, 0.41424776427447796, 0.42344480752944946, 0.40117702446877956, 0.3771907417103648]"
CW_c_beh_ca_HISAN,100.0,85.77,85.93,86.28,85.86,86.25,87.26,83.47,76.33,86.02,0.23,86.04,"[85.76443195343018, 85.9828770160675, 86.30092144012451, 85.88703274726868, 86.2566351890564]","[84.92389678955078, 85.06449890136719, 85.4984359741211, 85.11380004882812, 85.48702239990234]","[86.57273864746094, 86.73501586914062, 87.2297592163086, 86.61554718017578, 87.044677734375]","[0.43899822048842907, 0.420538941398263, 0.4371347837150097, 0.39268117398023605, 0.40662079118192196]"
CW_c_beh_cb_MTHISAN,100.0,86.71,86.6,86.13,87.64,87.87,88.3,85.01,77.96,86.99,0.73,87.0,"[86.7158830165863, 86.59213185310364, 86.14478707313538, 87.65029907226562, 87.88911700248718]","[85.89627838134766, 85.89055633544922, 85.37867736816406, 86.8920669555664, 87.21736145019531]","[87.4740219116211, 87.40532684326172, 86.94448852539062, 88.33940124511719, 88.6444091796875]","[0.41597001254558563, 0.41850022971630096, 0.39745476096868515, 0.3661911468952894, 0.37841801531612873]"
CW_c_beh_da_BERT,100.0,88.58,88.82,87.43,87.96,88.27,88.94,86.38,81.43,88.21,0.54,88.2,"[88.55929374694824, 88.79610300064087, 87.40948438644409, 87.94837594032288, 88.26754689216614]","[87.80208587646484, 88.0233154296875, 86.63992309570312, 87.19322967529297, 87.53498840332031]","[89.25906372070312, 89.5606918334961, 88.13943481445312, 88.698974609375, 89.02855682373047]","[0.39299484342336655, 0.39029011968523264, 0.4139099735766649, 0.4039548337459564, 0.40117865428328514]"
CW_c_beh_db_MTBERT,100.0,87.78,87.22,87.8,88.06,88.55,88.37,85.96,81.87,87.88,0.48,87.87,"[87.7686083316803, 87.20844388008118, 87.78942823410034, 88.0537211894989, 88.51819634437561]","[86.94113159179688, 86.37712860107422, 87.02727508544922, 87.2850112915039, 87.68984985351562]","[88.54264831542969, 87.99628448486328, 88.67597961425781, 88.88038635253906, 89.27555084228516]","[0.39377943612635136, 0.4140246193856001, 0.4096142016351223, 0.4035226069390774, 0.40176459588110447]"
CW_d_sit_aa_LOGR,100.0,97.63,97.5,97.61,97.6,97.59,97.64,97.46,96.96,97.59,0.05,97.58,"[97.62529730796814, 97.4954605102539, 97.61444926261902, 97.60016798973083, 97.5858986377716]","[97.24441528320312, 97.14637756347656, 97.25153350830078, 97.219482421875, 97.19944763183594]","[97.95497131347656, 97.8499526977539, 97.9503173828125, 97.94465637207031, 97.9069595336914]","[0.19135441398248076, 0.18854978261515498, 0.1883332966826856, 0.19428394734859467, 0.19056362798437476]"
CW_d_sit_ba_CNN,100.0,97.25,97.48,97.76,97.63,97.7,97.59,97.12,96.08,97.57,0.2,97.57,"[97.26237058639526, 97.48685956001282, 97.7664589881897, 97.63517379760742, 97.71112203598022]","[96.83552551269531, 97.107421875, 97.38021850585938, 97.28221893310547, 97.35204315185547]","[97.63349151611328, 97.88676452636719, 98.09584045410156, 98.00984191894531, 98.04312896728516]","[0.20699831657111645, 0.1933129271492362, 0.1835300587117672, 0.19076070748269558, 0.17845421098172665]"
CW_d_sit_bb_MTCNN_2,100.0,97.41,97.21,97.31,97.46,97.27,97.54,96.93,95.53,97.33,0.1,97.34,"[97.41513133049011, 97.20326662063599, 97.32285737991333, 97.46452569961548, 97.27150201797485]","[97.02418518066406, 96.81890106201172, 96.94876861572266, 97.12201690673828, 96.85084533691406]","[97.87671661376953, 97.55784606933594, 97.71099090576172, 97.82679748535156, 97.62727355957031]","[0.19909536931663752, 0.1940988819114864, 0.19245289731770754, 0.18538773292675614, 0.21030413918197155]"
CW_d_sit_bb_MTCNN_3,100.0,97.15,96.99,97.17,97.37,97.06,97.35,96.49,95.29,97.15,0.14,97.15,"[97.15583324432373, 96.98644876480103, 97.1666157245636, 97.37666845321655, 97.07152247428894]","[96.7544174194336, 96.57889556884766, 96.77526092529297, 96.9782943725586, 96.67974090576172]","[97.5664291381836, 97.38526153564453, 97.52901458740234, 97.68582153320312, 97.4490966796875]","[0.2068868838250637, 0.21102430764585733, 0.19662221893668175, 0.18574579153209925, 0.19884929060935974]"
CW_d_sit_ca_HISAN,100.0,97.73,97.77,97.76,97.54,97.54,97.93,97.15,95.98,97.67,0.12,97.67,"[97.72894382476807, 97.77024388313293, 97.7669358253479, 97.54939675331116, 97.55215644836426]","[97.36202239990234, 97.41512298583984, 97.38162994384766, 97.15591430664062, 97.1897201538086]","[98.06552124023438, 98.08808135986328, 98.10018920898438, 97.92729187011719, 97.91239166259766]","[0.18696319311857224, 0.1785113592632115, 0.185845117084682, 0.1922624884173274, 0.18967428477481008]"
CW_d_sit_cb_MTHISAN_2,100.0,97.64,97.56,97.57,97.56,97.54,97.87,97.18,95.49,97.57,0.04,97.58,"[97.6438581943512, 97.56020903587341, 97.57717847824097, 97.55505323410034, 97.54583835601807]","[97.2610092163086, 97.19959259033203, 97.17456817626953, 97.17308044433594, 97.13912963867188]","[97.95751190185547, 97.90626525878906, 97.9181137084961, 97.94014739990234, 97.9112777709961]","[0.1853562076576054, 0.19008725648745894, 0.18669720739126205, 0.1895861467346549, 0.19791226368397474]"
CW_d_sit_cb_MTHISAN_3,100.0,97.83,97.61,97.61,97.61,97.76,97.98,97.31,95.68,97.69,0.1,97.69,"[97.83596992492676, 97.61699438095093, 97.61404395103455, 97.60910868644714, 97.76145219802856]","[97.46685791015625, 97.25792694091797, 97.25472259521484, 97.18700408935547, 97.41869354248047]","[98.15074920654297, 97.99435424804688, 97.96574401855469, 97.95748901367188, 98.0899429321289]","[0.1745840534567833, 0.18814592622220516, 0.18178639002144337, 0.19393846159800887, 0.1761754392646253]"
CW_d_sit_da_BERT,100.0,97.74,98.24,98.16,98.15,98.24,98.24,97.83,96.78,98.11,0.21,98.11,"[97.74882197380066, 98.24328422546387, 98.16292524337769, 98.16556572914124, 98.24508428573608]","[97.34285736083984, 97.88931274414062, 97.77720642089844, 97.83421325683594, 97.92527770996094]","[98.09965515136719, 98.56839752197266, 98.47270965576172, 98.49909973144531, 98.55889892578125]","[0.1757053891196847, 0.16578148351982236, 0.17038650112226605, 0.16980250366032124, 0.1567030092701316]"
CW_d_sit_db_MTBERT_2,100.0,98.05,98.03,97.99,98.34,98.06,98.15,97.85,96.83,98.09,0.14,98.09,"[98.05172681808472, 98.02969098091125, 97.9898452758789, 98.33317995071411, 98.0618417263031]","[97.66152954101562, 97.65274810791016, 97.64688110351562, 97.9959487915039, 97.7074966430664]","[98.37677001953125, 98.38511657714844, 98.30516052246094, 98.6656723022461, 98.41203308105469]","[0.17286221263930202, 0.1801685313694179, 0.17422102391719818, 0.16069646226242185, 0.1732455682940781]"
CW_d_sit_db_MTBERT_3,100.0,98.08,98.08,98.25,97.99,98.03,98.09,97.74,96.86,98.09,0.1,98.09,"[98.0747401714325, 98.07797074317932, 98.2503890991211, 97.99234867095947, 98.03895950317383]","[97.73074340820312, 97.75574493408203, 97.9676284790039, 97.67235565185547, 97.68280029296875]","[98.39335632324219, 98.43296813964844, 98.54041290283203, 98.30699920654297, 98.37161254882812]","[0.1670677331276238, 0.16628773882985115, 0.14984325971454382, 0.16931429272517562, 0.17167008481919765]"
a_mor_aa_LOGR,100.0,77.14,76.71,77.08,76.89,76.92,77.3,75.33,72.22,76.95,0.17,76.95,"[77.14938521385193, 76.7080307006836, 77.07580924034119, 76.88876390457153, 76.9247829914093]","[76.1170654296875, 75.74860382080078, 76.02946472167969, 75.87733459472656, 75.92687225341797]","[78.17508697509766, 77.78439331054688, 78.12017822265625, 77.94340515136719, 77.943115234375]","[0.5237584002315998, 0.5399654619395733, 0.5358070600777864, 0.5269884131848812, 0.5197804421186447]"
a_mor_ba_CNN,100.0,79.76,79.31,78.8,79.21,79.41,80.02,76.69,71.15,79.3,0.35,79.3,"[79.75417971611023, 79.31472659111023, 78.80691289901733, 79.21613454818726, 79.40002679824829]","[78.68267059326172, 78.2820053100586, 77.79046630859375, 78.23104858398438, 78.40394592285156]","[80.75606536865234, 80.31531524658203, 79.75359344482422, 80.11601257324219, 80.37202453613281]","[0.5113517865538597, 0.5234982818365097, 0.5268993321806192, 0.49472576938569546, 0.49753040075302124]"
a_mor_bb_MTCNN,100.0,79.64,79.45,78.82,78.56,79.63,79.79,76.74,72.02,79.22,0.5,79.23,"[79.6481192111969, 79.44479584693909, 78.83365154266357, 78.57896685600281, 79.63091135025024]","[78.64573669433594, 78.35871124267578, 77.76966094970703, 77.61042785644531, 78.60440826416016]","[80.68769836425781, 80.38069152832031, 79.8366928100586, 79.64828491210938, 80.63973236083984]","[0.5055729765444994, 0.5119818728417158, 0.5358339753001928, 0.5236775614321232, 0.5335842724889517]"
a_mor_ca_HISAN,100.0,79.53,80.19,79.38,78.76,79.9,80.62,76.71,69.01,79.55,0.55,79.54,"[79.51357960700989, 80.17769455909729, 79.38435673713684, 78.74820828437805, 79.87263202667236]","[78.55076599121094, 79.17745971679688, 78.4578628540039, 77.68220520019531, 78.90475463867188]","[80.49867248535156, 81.2459716796875, 80.33502197265625, 79.74547576904297, 80.99467468261719]","[0.49709323793649673, 0.5062540527433157, 0.5020016338676214, 0.5186604335904121, 0.5259424448013306]"
a_mor_cb_MTHISAN,100.0,78.41,79.34,78.69,78.63,79.57,79.83,75.81,68.44,78.93,0.5,78.92,"[78.40163111686707, 79.35692071914673, 78.64853739738464, 78.61704230308533, 79.55646514892578]","[77.52381896972656, 78.4666976928711, 77.5425033569336, 77.58452606201172, 78.60152435302734]","[79.42881774902344, 80.35365295410156, 79.67729187011719, 79.62284851074219, 80.41061401367188]","[0.5072496831417084, 0.5069533362984657, 0.5254770629107952, 0.5312060471624136, 0.4838806577026844]"
a_mor_da_BERT,100.0,81.98,82.07,82.11,81.65,80.48,82.43,79.61,74.13,81.66,0.68,81.63,"[81.951504945755, 82.039874792099, 82.09944367408752, 81.6229522228241, 80.44528365135193]","[80.94328308105469, 81.0538558959961, 81.21293640136719, 80.75577545166016, 79.54027557373047]","[82.8877182006836, 83.01046752929688, 82.99627685546875, 82.54207611083984, 81.41648864746094]","[0.48769721761345863, 0.4938326310366392, 0.4854535683989525, 0.49041835591197014, 0.4802545066922903]"
a_mor_db_MTBERT,100.0,80.44,80.83,81.51,81.69,80.88,81.87,78.64,73.18,81.07,0.52,81.05,"[80.43131232261658, 80.80882430076599, 81.48708939552307, 81.6615641117096, 80.87987899780273]","[79.45584106445312, 79.92017364501953, 80.48985290527344, 80.66080474853516, 79.85189056396484]","[81.44513702392578, 81.7458267211914, 82.41043853759766, 82.62796020507812, 81.74909210205078]","[0.5049226805567741, 0.4791934508830309, 0.4815689753741026, 0.5013674031943083, 0.4905261564999819]"
b_his_aa_LOGR,100.0,79.64,79.44,79.73,79.45,79.63,79.81,78.33,75.19,79.58,0.13,79.57,"[79.64637279510498, 79.42861318588257, 79.72233891487122, 79.45082783699036, 79.62660193443298]","[78.73113250732422, 78.47537231445312, 78.71841430664062, 78.47566223144531, 78.67738342285156]","[80.5806884765625, 80.45777893066406, 80.64606475830078, 80.45629119873047, 80.59896850585938]","[0.496302405372262, 0.5156808067113161, 0.49789799377322197, 0.5141313187777996, 0.503464974462986]"
b_his_ba_CNN,100.0,81.81,82.16,81.42,81.49,81.51,82.27,79.54,74.52,81.68,0.31,81.66,"[81.79540634155273, 82.14057683944702, 81.42844438552856, 81.47984147071838, 81.4784824848175]","[80.95579528808594, 81.22843170166016, 80.46273040771484, 80.5376968383789, 80.5301513671875]","[82.73265075683594, 83.0213851928711, 82.31180572509766, 82.33101654052734, 82.43071746826172]","[0.4780177026987076, 0.4864783491939306, 0.48008766025304794, 0.46168630942702293, 0.47566178254783154]"
b_his_bb_MTCNN,100.0,81.69,82.58,81.36,81.93,82.5,82.69,79.41,74.06,82.01,0.52,82.0,"[81.66921734809875, 82.56319165229797, 81.34551644325256, 81.92171454429626, 82.50386714935303]","[80.70306396484375, 81.54351806640625, 80.2998046875, 80.88873291015625, 81.54974365234375]","[82.56735229492188, 83.48120880126953, 82.26739501953125, 82.7016830444336, 83.36869049072266]","[0.46822414733469486, 0.4864371381700039, 0.48972382210195065, 0.4569288343191147, 0.4614043515175581]"
b_his_ca_HISAN,100.0,82.0,82.36,82.42,81.78,82.14,83.29,79.53,72.38,82.14,0.26,82.12,"[81.97075128555298, 82.35065340995789, 82.3991060256958, 81.7772626876831, 82.12117552757263]","[81.05968475341797, 81.45318603515625, 81.47881317138672, 80.81941223144531, 81.09184265136719]","[82.81251525878906, 83.23649597167969, 83.3072509765625, 82.6307144165039, 83.02999114990234]","[0.46511958353221416, 0.4598885774612427, 0.4640548024326563, 0.4881459753960371, 0.477054575458169]"
b_his_cb_MTHISAN,100.0,82.45,83.33,82.3,82.16,83.13,83.46,80.15,74.35,82.67,0.52,82.65,"[82.42760300636292, 83.29444527626038, 82.28743076324463, 82.13313221931458, 83.10949206352234]","[81.47421264648438, 82.48452758789062, 81.31735229492188, 81.24433898925781, 82.20551300048828]","[83.33621978759766, 84.23455810546875, 83.24104309082031, 83.05493927001953, 83.95942687988281]","[0.47015310265123844, 0.4536189138889313, 0.4753808956593275, 0.4501200746744871, 0.45257783494889736]"
b_his_da_BERT,100.0,83.59,83.94,83.68,83.92,84.25,84.4,81.88,77.65,83.88,0.26,83.85,"[83.6010217666626, 83.9120090007782, 83.63643288612366, 83.9069664478302, 84.19790863990784]","[82.82621002197266, 83.05289459228516, 82.73307800292969, 83.05496978759766, 83.29572296142578]","[84.40991973876953, 84.78973388671875, 84.48827362060547, 84.68545532226562, 85.08326721191406]","[0.43237851932644844, 0.4480167292058468, 0.4515159409493208, 0.4340029787272215, 0.4323681816458702]"
b_his_db_MTBERT,100.0,83.34,83.92,83.88,84.05,83.36,84.11,81.58,76.89,83.71,0.33,83.69,"[83.33383202552795, 83.89585614204407, 83.8693618774414, 84.01440382003784, 83.31801891326904]","[82.48240661621094, 82.98178100585938, 83.0390853881836, 83.20874786376953, 82.4949722290039]","[84.14173889160156, 84.79000854492188, 84.66956329345703, 84.9129867553711, 84.10359191894531]","[0.4384472034871578, 0.4565941169857979, 0.4219940397888422, 0.4322165157645941, 0.4275888670235872]"
c_beh_aa_LOGR,100.0,87.64,87.51,87.61,87.65,87.68,87.84,86.89,85.44,87.62,0.07,87.62,"[87.64451146125793, 87.51755952835083, 87.6049816608429, 87.67417669296265, 87.67926096916199]","[86.8749771118164, 86.81085968017578, 86.84207153320312, 86.93904113769531, 86.96922302246094]","[88.45663452148438, 88.28565979003906, 88.37703704833984, 88.49359130859375, 88.4686050415039]","[0.4005582071840763, 0.3895929083228111, 0.398075208067894, 0.4071044269949198, 0.3957879263907671]"
c_beh_ba_CNN,100.0,88.2,88.07,86.31,86.29,87.22,87.68,85.15,80.52,87.22,0.92,87.22,"[88.20682764053345, 88.06821703910828, 86.30561232566833, 86.30254864692688, 87.2397243976593]","[87.44371795654297, 87.2181625366211, 85.378662109375, 85.44147491455078, 86.41891479492188]","[88.97018432617188, 88.8251724243164, 87.22249603271484, 87.20816040039062, 88.0387954711914]","[0.4016912542283535, 0.4093632102012634, 0.4528174642473459, 0.4377401899546385, 0.418730778619647]"
c_beh_bb_MTCNN,100.0,87.85,88.17,87.83,88.06,88.0,88.37,86.38,82.81,87.98,0.14,87.98,"[87.85309791564941, 88.18307518959045, 87.80859112739563, 88.05690407752991, 88.00502419471741]","[86.91838836669922, 87.41676330566406, 87.04576873779297, 87.34527587890625, 87.20438385009766]","[88.60060119628906, 88.97095489501953, 88.67632293701172, 88.79912567138672, 88.74685668945312]","[0.4182110074907541, 0.3967046272009611, 0.42647896334528923, 0.39632157422602177, 0.3952870611101389]"
c_beh_ca_HISAN,100.0,88.0,87.77,87.67,87.26,88.09,88.61,85.92,80.05,87.76,0.32,87.78,"[88.02868723869324, 87.81439065933228, 87.67222166061401, 87.28936910629272, 88.1027340888977]","[87.21321105957031, 87.01097869873047, 86.87972259521484, 86.5581283569336, 87.38182830810547]","[88.80367279052734, 88.69281005859375, 88.46923828125, 88.08526611328125, 88.80921173095703]","[0.4030057694762945, 0.42083514854311943, 0.407590763643384, 0.38536444772034883, 0.38204158190637827]"
c_beh_cb_MTHISAN,100.0,88.72,88.5,87.94,88.33,88.33,88.97,86.63,82.13,88.37,0.29,88.37,"[88.73555660247803, 88.50179314613342, 87.93984055519104, 88.33454251289368, 88.34376931190491]","[87.95478820800781, 87.7998046875, 87.13253784179688, 87.61003875732422, 87.58438110351562]","[89.47381591796875, 89.25603485107422, 88.64509582519531, 89.0107421875, 89.16109466552734]","[0.3871916327625513, 0.3755470272153616, 0.40238816291093826, 0.36306523252278566, 0.3966472577303648]"
c_beh_da_BERT,100.0,88.4,88.77,88.68,89.07,88.65,89.17,87.1,83.2,88.71,0.24,88.7,"[88.39657306671143, 88.75104784965515, 88.66470456123352, 89.05985355377197, 88.63127827644348]","[87.6465072631836, 88.03028106689453, 87.86724853515625, 88.32225799560547, 87.8982925415039]","[89.1817626953125, 89.52959442138672, 89.46034240722656, 89.79512786865234, 89.48694610595703]","[0.40175560861825943, 0.39738407358527184, 0.3975530620664358, 0.381421041674912, 0.3934652544558048]"
c_beh_db_MTBERT,100.0,88.72,88.62,88.97,89.0,88.81,89.3,87.15,83.27,88.82,0.16,88.81,"[88.71078491210938, 88.60232830047607, 88.95519971847534, 88.98030519485474, 88.78374099731445]","[87.89305877685547, 87.78009033203125, 88.16410827636719, 88.20991516113281, 87.9743423461914]","[89.4832763671875, 89.38490295410156, 89.79859161376953, 89.7789535522461, 89.53660583496094]","[0.39143054746091366, 0.4117570351809263, 0.41066757403314114, 0.3956685308367014, 0.40412493981420994]"
d_sit_aa_LOGR,100.0,97.56,97.44,97.53,97.53,97.6,97.57,97.38,96.89,97.53,0.06,97.53,"[97.55491018295288, 97.43803143501282, 97.52588868141174, 97.5257158279419, 97.59919047355652]","[97.17044830322266, 97.06381225585938, 97.14073944091797, 97.11776733398438, 97.21847534179688]","[97.89558410644531, 97.7935562133789, 97.84745788574219, 97.87443542480469, 97.91517639160156]","[0.19330872455611825, 0.18936371197924018, 0.1905482728034258, 0.19957148469984531, 0.19006060902029276]"
d_sit_ba_CNN,100.0,96.93,97.47,97.43,97.27,97.38,97.46,96.76,95.81,97.3,0.22,97.3,"[96.93719744682312, 97.47157692909241, 97.43105173110962, 97.27879762649536, 97.38845825195312]","[96.54483032226562, 97.08070373535156, 97.02523040771484, 96.85283660888672, 97.02694702148438]","[97.32830047607422, 97.8384780883789, 97.79718780517578, 97.6575698852539, 97.79261016845703]","[0.2098877215757966, 0.1958953682333231, 0.1971451798453927, 0.20164751913398504, 0.1977270469069481]"
